编号,酒店名称,评论信息,备注,评论人,评论日期,评分,情感倾向
53,亚朵酒店,就是普通的亚朵连锁，挂的乔寓的牌子，1点15到的，明明有空房就是不查房报房，和客人美其名曰没有打扫出来，只能等到2点再给你办入住…房间浴室漏水换了一间依旧如此只是略有改善…非景观房对着停车场和工地…晚上10点多都能一直听见汽车喇叭声音…早上8点工地就开始打桩…除了地理位置一无是处的地方。,,丹xx玉兰,2022-07-12,1,负向
54,亚朵酒店,卫生：卫生环境真的一言难尽，椅子床头，地面，以及只要有缝隙的地方都有灰尘。榻榻米的坐垫各种污渍，我直接扔一边去。,,建平xx冬梅,2022-01-15,1,负向
55,亚朵酒店,虽然还有那么点遗憾，虽然五分近在咫尺却又远在天涯，不过朵儿不会灰心的，相信下一次见面会有不一样的精彩！,,杨xx成,2022-10-05,5,正向
56,亚朵酒店,早上八点准时工地开始干活，窗户隔音基本没有，吵得人根本没法休息。,,岩xx玉梅,2022-09-11,1,负向
57,亚朵酒店,取房时间混乱，三点取房拖到五六点才拿到房间，前台管理服务效率低，设施一般，床铺不够干燥，服务不够专业。,,霞xx丹,2022-05-26,1,负向
58,亚朵酒店,酒店的位置很好，但观景房大部分只能侧面看到一点景。下午四点还说房间卫生未搞好，国庆假期服务跟不上，酒店没有固定的停车位。,,春梅xx敏,2022-04-02,1,负向
59,亚朵酒店,这是第二次入住亚朵 服务不好 态度很差 没那么多双床房 等到6点多还不能入住！！！没有下次,,辉xx凤兰,2022-06-16,1,负向
60,亚朵酒店,过年时段，下午五点多才入住得了，真的很影响心情。,,秀荣xx岩,2022-07-31,3,正向
61,亚朵酒店,携程预订就是低人一等而且贵点，所谓的豪华大床房冰箱是没有饮品的，其他房都有，几块钱的东西都要区别的对待显得太小气，房型升级也是忽悠，根本没有升级。所谓的竹居就是大堂的休息厅，还以为是什么景点。,,艳xx丽娟,2022-04-29,1,负向
62,亚朵酒店,过年加价就算了，服务还跟不上，以后不会住亚朵,,斌xx霞,2022-02-06,4,正向
63,亚朵酒店,"靠近800一间的价格，这性极比，后来一想不如打车，宁可远点也去住朗庭，虽然这家地理位置真的很不错，走过3个路口就到外滩了，但是真的隔音不太行_x000D_
晚上不知道是楼上还是楼下用水，总是有回音上来，根本不好睡，床品来讲，席梦思软硬正好，但是被套就是所有酒店通病，不知道是什么材质，稍微一动，就沙沙作响，加上下水道的声音，简直了，一宿没好好睡_x000D_
早餐很不错，今天刚好清明，还给了季节食物青团_x000D_
前台几个女服务员态度普遍不怎么样，在跟我确认的时候，非常大声地说出我的房号和姓名，这让我觉得非常不安全，难道没有一点保护客人隐私的意识吗，我要求加一床被子，等了2个小时以后，再次打电话才送来的，真的很无语_x000D_
不会再入住，体验感较差",,宇xx建华,2022-03-11,1,负向
64,亚朵酒店,临时来上海对比几家选了这个酒店，因为装修比较新，毕竟也不是第一次住亚朵，到了后只有惊没有喜，酒店在巷子里的一栋三层楼，外观上真不如走过来马路边上的锦江，价格还比亚朵便宜，顺利办理入住带我们去房间，房间就在一楼还要打开一个消防通道门，真是别有洞天，走廊上因为不通风吧一股子味道，房间真是一言难尽，中午两点多外面还出着太阳房间里都进不来光，昏昏暗暗的，窗户旁边还有一条排污沟，哎，让我想起了深圳城中村的握手楼，隔音差到隔壁开龙头都能听的一清二楚，服务更是绝了，打电话给前台询问有没有洗衣液或者洗衣的香皂一类，态度随意的说帮我看看，啪的给挂了，然后就没有然后了，到退房也没有见到或者接到一个回馈电话，退房的时候还看到其他客户在前台投诉；可能上海亚朵管理就是三流旅店的管理吧，八百一晚除了离外滩近无任何优点，比他家性价比高的在旁边有的是，大家避雷吧。,,莉xx峰,2022-07-27,1,负向
65,亚朵酒店,房间窗户有遮挡，屋子很不透气，原本订了三晚，只住了一晚就退房了。酒店服务不到位，原本应当两点入住，两点到大酒店后又等了一个多小时才入住房间，说是房间还没打扫出来，打电话给前台叫服务，等了很长时间服务员才来，还不熟悉酒店业务。总之感觉酒店房间和服务不值这个价钱。,,辉xx兰英,2022-12-01,1,负向
66,亚朵酒店,房间是我住过算很差的和价格完全不符合，还不是节假日都要900多，最重要的是房间的窗户外面就是一个走廊，有人经过就在自己房间的窗户外面，很没有安全感，门口的过道，保洁阿姨很晚了还在过道聊天，隔音很差，躺在床上听她们在聊天，我也真的是没脾气，不知道哪来的那么多好评，门口的保安也很凶，叫了滴滴在门口停的没超过一分钟，而且我们还在旁边的情况下，保安就在那里一直说不能停，我就想问下保安你不让停那我们怎么上车，而且前面还停了一辆，你怎么不说，建议大家可以慎重考虑，真实的感受。,,春梅xx秀华,2022-07-27,1,负向
67,亚朵酒店,性价比很低，一千多块钱一晚比我在其他城市住的四五百块的亚朵房间还要小。房间里只有一个非常非常小的窗户，和我们自己家的浴室窗户那么大，和前一晚住的香格里拉简直天壤之别，非常不满意,,文xx帆,2022-07-22,1,负向
68,亚朵酒店,除了位置，一无是处，接近一千元一晚上的价格感觉住地下室一样，早上一早居然有人弹钢琴，隔音效果极差 立马被吵醒，喜欢睡懒觉的同志们慎入,,倩xx静,2022-03-31,1,负向
69,亚朵酒店,1为了孩子特意定了亲子房，可是房间布置和图片严重不符合，没有任何卡通装饰也没有小帐篷，小朋友很失望。2停车很不方便，酒店也不提供哪儿可以停车的信息，最终我在晚上10点多花了大半小时找车位，花了130停在了一家单位的停车场，找到车位我还算是运气。3卫生局一个龙头是坏的，直接能拔下来。,,宇xx华,2022-05-03,1,负向
70,亚朵酒店,卫生条件差，房间臭，沙发看起来脏兮兮的，淋浴间里有没被丢掉的卫生纸堆在很明显的位置，非常糟糕的入住体验，以后不会再选择亚朵。,,杨xx秀梅,2022-06-03,1,负向
71,亚朵酒店,真的很经济型酒店，弄堂里面，房间窗户外紧紧挨着别的破房子，真的很差。房间里面也脏兮兮的。,,勇xx桂荣,2022-05-20,1,负向
72,亚朵酒店,比较差的体验了，酒店不隔音，然后还是内窗，里面咖啡和茶包也没及时补充。,,玲xx鹏,2022-08-20,1,负向
73,亚朵酒店,亚朵品质还是有保障的，我们一般在外面如果选酒店，会先看亚朵。这家店地理位置很好，出门2分钟就是外滩，再走5分钟就到轮渡码头，夜景很美。房间不算大，不过外面有个小露台，跟平常的阳台不同，总让我觉得是在一层小院而不是五层。可惜早上起晚了，没能去吃早饭。服务很热情，退房的时候也会主动送水，还有个小礼品。带着老人小朋友旅游还是推荐的。,,艳xx芳,2022-07-28,4,正向
74,亚朵酒店,"距离外滩步行几百米 不要太方便哦_x000D_
三口房间非常棒 干净卫生舒适 一应俱全 还带小露台 机器人送东西到门口 饮料免费 还有百度的小度智能音箱 爱了爱了_x000D_
最难忘的是从入住到离店的服务一级棒 帮拿箱子 前台也很专业 总之感受非常好 下一站苏州还选亚朵_x000D_
感谢亚朵每一个用心做事的人 从管理层到工作人员 感谢你们呦",,伟xx畅,2022-08-08,5,正向
75,亚朵酒店,"房间空间很大，还有阳台。早上在外面吃个早餐嗮嗮太阳非常舒服。酒店的枕头和床垫非常舒服，自己都想买一套给家里用了。_x000D_
_x000D_
酒店的服务特别专业，从前台到保洁阿姨都很友好。_x000D_
_x000D_
酒店距离外滩很近，走三到五分钟就到了。",,想xx想,2022-03-01,1,负向
76,亚朵酒店,首先，酒店位置非常好，出门右转步行2分钟即到外滩，漫步黄浦江边，两岸风光尽收眼底；其次，酒店设施比较完备，卫生整洁度较高，自助早餐48元，种类比较丰富，酒店旁边也有老字号“大壶春”生煎可供选择；再次，在寸土寸金的外滩片区，该酒店自带一个小型停车场，目测可供停放10辆车左右，颇为难能可贵；最后，酒店服务水平也比较在线，唯一的不足之处就是受限于老建筑，酒店房间面积和通风效果难以做到尽善尽美。,,辉xx瑜,2022-03-10,4,正向
77,亚朵酒店,酒店环境很好，离外滩很近，走一会儿就到了，房间干净整洁，服务水平非常好非常到位，还免费延时，前台服务人员热情周到，细心解答客人的问题，非常感谢，下次来上海还会亚朵酒店！,,楠xx娜,2022-07-14,5,正向
78,亚朵酒店,"位于南京路、外滩区域，距离签证申请中心很近，步行过马路，转个弯就到了。_x000D_
酒店大门在一个小巷子里。房间不大，窗户朝向也很怪，不过在这寸土寸金的地方也可以接受。",,丹丹xx杰,2022-04-24,1,负向
79,亚朵酒店,"前台很热情，给免费升级了豪华亲子房，房间还带露台。。！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！_x000D_
设施：好_x000D_
卫生：好_x000D_
环境：好_x000D_
服务：好",,红xx秀芳,2022-10-23,4,正向
80,亚朵酒店,"靠近800一间的价格，这性极比，后来一想不如打车，宁可远点也去住朗庭，虽然这家地理位置真的很不错，走过3个路口就到外滩了，但是真的隔音不太行_x000D_
晚上不知道是楼上还是楼下用水，总是有回音上来，根本不好睡，床品来讲，席梦思软硬正好，但是被套就是所有酒店通病，不知道是什么材质，稍微一动，就沙沙作响，加上下水道的声音，简直了，一宿没好好睡_x000D_
早餐很不错，今天刚好清明，还给了季节食物青团_x000D_
前台几个女服务员态度普遍不怎么样，在跟我确认的时候，非常大声地说出我的房号和姓名，这让我觉得非常不安全，难道没有一点保护客人隐私的意识吗，我要求加一床被子，等了2个小时以后，再次打电话才送来的，真的很无语_x000D_
不会再入住，体验感较差",,利xx霞,2022-05-05,1,负向
81,亚朵酒店,"房间的淋浴露洗手液 都很香 檀木香_x000D_
酒店前台人员服务态度都很好_x000D_
地理位置也很不错 几分钟走到外滩 十分钟到南京步行街_x000D_
下次还会来入住的！",,欣xx冬梅,2022-01-23,4,正向
82,亚朵酒店,距离外滩、南京步行街非常近，很方便游玩，就是房间比较小，不过要是白天出去玩倒是无所谓。服务挺好，有机器人送外卖到房间。,,龙xx小红,2022-09-24,2,中性
